,Hotel_name,name,rating,review,label,review],review_tokens
0,Hotel Gran Mahakam,Robert Gow,4.0,old boutique hotel but very well maintained reception concierge restaurant housekeeping and security staff all very polite and helpful in room amenities are complete i stayed in a standard room then later upgraded to deluxe suite and found the bedding in both very comfortable there were insufficient number of power outlets accommodate my laptop and chargers for tablet and phone so i purchased a cable extension at the block m mall which is conveniently located meters from the hotel i can highly recommend the gran mahakam hotel for both business and family travel,Positif,old boutique hotel but very well maintained reception concierge restaurant housekeeping and security staff all very polite and helpful in room amenities are complete i stayed in a standard room then later upgraded to deluxe suite and found the bedding in both very comfortable there were insufficient number of power outlets accommodate my laptop and chargers for tablet and phone so i purchased a cable extension at the block m mall which is conveniently located meters from the hotel i can highly recommend the gran mahakam hotel for both business and family travel,o l d   b o u t i q u e   h o t e l   b u t   v e r y   w e l l   m a i n t a i n e d   r e c e p t i o n   c o n c i e r g e   r e s t a u r a n t   h o u s e k e e p i n g   a n d   s e c u r i t y   s t a f f   a l l   v e r y   p o l i t e   a n d   h e l p f u l   i n   r o o m   a m e n i t i e s   a r e   c o m p l e t e   i   s t a y e d   i n   a   s t a n d a r d   r o o m   t h e n   l a t e r   u p g r a d e d   t o   d e l u x e   s u i t e   a n d   f o u n d   t h e   b e d d i n g   i n   b o t h   v e r y   c o m f o r t a b l e   t h e r e   w e r e   i n s u f f i c i e n t   n u m b e r   o f   p o w e r   o u t l e t s   a c c o m m o d a t e   m y   l a p t o p   a n d   c h a r g e r s   f o r   t a b l e t   a n d   p h o n e   s o   i   p u r c h a s e d   a   c a b l e   e x t e n s i o n   a t   t h e   b l o c k   m   m a l l   w h i c h   i s   c o n v e n i e n t l y   l o c a t e d   m e t e r s   f r o m   t h e   h o t e l   i   c a n   h i g h l y   r e c o m m e n d   t h e   g r a n   m a h a k a m   h o t e l   f o r   b o t h   b u s i n e s s   a n d   f a m i l y   t r a v e l
1,Hotel Gran Mahakam,Oggi Gunadi,5.0,outstanding service from the first sight first impression was made by security valet and bell boy who greet us and assist our luggage door girl greet and escort to reception and staff were professionally manner with their smile during assistance found the room was well maintain and sanitized label are placed it creates comfort during the stay oggihotelreview,Positif,outstanding service from the first sight first impression was made by security valet and bell boy who greet us and assist our luggage door girl greet and escort to reception and staff were professionally manner with their smile during assistance found the room was well maintain and sanitized label are placed it creates comfort during the stay oggihotelreview,o u t s t a n d i n g   s e r v i c e   f r o m   t h e   f i r s t   s i g h t   f i r s t   i m p r e s s i o n   w a s   m a d e   b y   s e c u r i t y   v a l e t   a n d   b e l l   b o y   w h o   g r e e t   u s   a n d   a s s i s t   o u r   l u g g a g e   d o o r   g i r l   g r e e t   a n d   e s c o r t   t o   r e c e p t i o n   a n d   s t a f f   w e r e   p r o f e s s i o n a l l y   m a n n e r   w i t h   t h e i r   s m i l e   d u r i n g   a s s i s t a n c e   f o u n d   t h e   r o o m   w a s   w e l l   m a i n t a i n   a n d   s a n i t i z e d   l a b e l   a r e   p l a c e d   i t   c r e a t e s   c o m f o r t   d u r i n g   t h e   s t a y   o g g i h o t e l r e v i e w
2,Hotel Gran Mahakam,Fifi Muliadi,5.0,when i was working i frequently visited the hotel for meeting doing lunches and dinners i have always like this very specialized boutique hotel and i had my wedding reception there as well handled by hadi praja everything was on point fantastic from check in to wedding reception until check out with my guests all praising the good food and great valet service the only complaint from them is the access to the hotel on a saturday night was heavy traffic thank you gran mahakam,Positif,when i was working i frequently visited the hotel for meeting doing lunches and dinners i have always like this very specialized boutique hotel and i had my wedding reception there as well handled by hadi praja everything was on point fantastic from check in to wedding reception until check out with my guests all praising the good food and great valet service the only complaint from them is the access to the hotel on a saturday night was heavy traffic thank you gran mahakam,w h e n   i   w a s   w o r k i n g   i   f r e q u e n t l y   v i s i t e d   t h e   h o t e l   f o r   m e e t i n g   d o i n g   l u n c h e s   a n d   d i n n e r s   i   h a v e   a l w a y s   l i k e   t h i s   v e r y   s p e c i a l i z e d   b o u t i q u e   h o t e l   a n d   i   h a d   m y   w e d d i n g   r e c e p t i o n   t h e r e   a s   w e l l   h a n d l e d   b y   h a d   p r a j a   e v e r y t h i n g   w a s   o n   p o i n t   f a n t a s t i c   f r o m   c h e c k   i n   t o   w e d d i n g   r e c e p t i o n   u n t i l   c h e c k   o u t   w i t h   m y   g u e s t s   a l l   p r a i s i n g   t h e   g o o d   f o o d   a n d   g r e a t   v a l e t   s e r v i c e   t h e   o n l y   c o m p l a i n t   f r o m   t h e m   i s   t h e   a c c e s s   t o   t h e   h o t e l   o n   a   s a t u r d a y   n i g h t   w a s   h e a v y   t r a f f i c   t h a n k   y o u   g r a n   m a h a k a m
3,Hotel Gran Mahakam,Renatha P,5.0,having all you can eat luncheon in private room for pax with round table fine dining with good services and friendly staff helping taking pictures of us rooms service location more,Positif,having all you can eat luncheon in private room for pax with round table fine dining with good services and friendly staff helping taking pictures of us rooms service location more,h a v i n g   a l l   y o u   c a n   e a t   l u n c h e o n   i n   p r i v a t e   r o o m   f o r   p a x   w i t h   r o u n d   t a b l e   f i n e   n i n g   w i t h   g o o d   s e r v i c e s   a n d   f r i e n d l y   s t a f f   h e l p i n g   t a k i n g   p i c t u r e s   o f   u s   r o o m s   s e r v i c e   l o c a t i o n   m o r e
4,Hotel Gran Mahakam,Swathi V,5.0,my stay was a combination of quarantine and normal stay easily the best quarantine food i have had so far delightful desserts included too the hotel was not fully open due to covid closure of the spa and limited pool service however everything else was delightful the staff and service was amazing they assisted swiftly on all matters the food at the restaurant was delicious for guests with breakfast options they even had complimentary in room breakfast,Positif,my stay was a combination of quarantine and normal stay easily the best quarantine food i have had so far delightful desserts included too the hotel was not fully open due to covid closure of the spa and limited pool service however everything else was delightful the staff and service was amazing they assisted swiftly on all matters the food at the restaurant was delicious for guests with breakfast options they even had complimentary in room breakfast,m y   s t a y   w a s   a   c o m b i n a t i o n   o f   q u a r a n t i n e   a n d   n o r m a l   s t a y   e a s i l y   t h e   b e s t   q u a r a n t i n e   f o o d   i   h a v e   h a d   s o   f a r   d e l i g h t f u l   d e s s e r t s   i n c l u d e d   t o o   t h e   h o t e l   w a s   n o t   f u l l y   o p e n   d u e   t o   c o v i d   c l o s u r e   o f   t h e   s p a   a n d   l i m i t e d   p o o l   s e r v i c e   h o w e v e r   e v e r y t h i n g   e l s e   w a s   d e l i g h t f u l   t h e   s t a f f   a n d   s e r v i c e   w a s   a m a z i n g   t h e y   a s s i s t e d   s w i f t l y   o n   a l l   m a t t e r s   t h e   f o o d   a t   t h e   r e s t a u r a n t   w a s   d e l i c i o u s   f o r   g u e s t s   w i t h   b r e a k f a s t   o p t i o n s   t h e y   e v e n   h a d   c o m p l i m e n t a r y   i n   r o o m   b r e a k f a s t
5,Hotel Gran Mahakam,Yoelto,4.0,good building place location but little lack of parking i felt comfort in the building homey and delicious soto betawi service location more,Positif,good building place location but little lack of parking i felt comfort in the building homey and delicious soto betawi service location more,g o o d   b u i l d i n g   p l a c e   l o c a t i o n   b u t   l i t t l e   l a c k   o f   p a r k i n g   i   f e l t   c o m f o r t   i n   t h e   b u i l d i n g   h o m e y   a n d   d e l i c i o u s   s o t o   b e t a w i   s e r v i c e   l o c a t i o n   m o r e
6,Hotel Gran Mahakam,David Lang,5.0,a true star experience the staff is very attentive and helpful the accommodations immaculate and the room service wonderful i d highly recommend if you are staying in south jakarta rooms service location more,Positif,a true star experience the staff is very attentive and helpful the accommodations immaculate and the room service wonderful i d highly recommend if you are staying in south jakarta rooms service location more,a   t r u e   s t a r   e x p e r i e n c e   t h e   s t a f f   i s   v e r y   a t t e n t i v e   a n d   h e l p f u l   t h e   a c c o m m o d a t i o n s   i m m a c u l a t e   a n d   t h e   r o o m   s e r v i c e   w o n d e r f u l   i   d   h i g h l y   r e c o m m e n d   i f   y o u   a r e   s t a y i n g   i n   s o u t h   j a k a r t a   r o o m s   s e r v i c e   l o c a t i o n   m o r e
7,Hotel Gran Mahakam,Aliya Nursabrina,5.0,classic boutique hotel that is always a favorite love the buffet either for bfast or dinner so much rooms service location more,Positif,classic boutique hotel that is always a favorite love the buffet either for bfast or dinner so much rooms service location more,c l a s s i c   b o u t i q u e   h o t e l   t h a t   i s   a l w a y s   a   f a v o r i t e   l o v e   t h e   b u f f e t   e i t h e r   f o r   b f a s t   o r   d i n n e r   s o   m u c h   r o o m s   s e r v i c e   l o c a t i o n   m o r e
8,Hotel Gran Mahakam,Raymond Valiant Ruritan,4.0,i should say that is a small hotel but with agreable service i spent a few times here specially utilizing the restaurant for breakfast and luncheon meetings it is acceptable and well served,Positif,i should say that is a small hotel but with agreable service i spent a few times here specially utilizing the restaurant for breakfast and luncheon meetings it is acceptable and well served,i   s h o u l d   s a y   t h a t   i s   a   s m a l l   h o t e l   b u t   w i t h   a g r e a b l e   s e r v i c e   i   s p e n t   a   f e w   t i m e s   h e r e   s p e c i a l l y   u t i l i z i n g   t h e   r e s t a u r a n t   f o r   b r e a k f a s t   a n d   l u n c h e o n   m e e t i n g s   i t   i s   a c c e p t a b l e   a n d   w e l l   s e r v e d
9,Hotel Gran Mahakam,Exao Original,5.0,room and facilities are standart of normal hotel but the staff are truly amazing very polite helpful the hotel also provide place to perform jumat prayer awesomerooms service location more,Positif,room and facilities are standart of normal hotel but the staff are truly amazing very polite helpful the hotel also provide place to perform jumat prayer awesomerooms service location more,r o o m   a n d   f a c i l i t i e s   a r e   s t a n d a r t   o f   n o r m a l   h o t e l   b u t   t h e   s t a f f   a r e   t r u l y   a m a z i n g   v e r y   p o l i t e   h e l p f u l   t h e   h o t e l   a l s o   p r o v i d e   p l a c e   t o   p e r f o r m   j u m a t   p r a y e r   a w e s o m e r o o m s   s e r v i c e   l o c a t i o n   m o r e
