,Hotel_name,name,rating,review,label,review_tokens
0,Hotel Gran Mahakam,Robert Gow,4.0,old boutique hotel but very well maintained reception concierge restaurant housekeeping and security staff all very polite and helpful in room amenities are complete i stayed in a standard room then later upgraded to deluxe suite and found the bedding in both very comfortable there were insufficient number of power outlets accommodate my laptop and chargers for tablet and phone so i purchased a cable extension at the block m mall which is conveniently located meters from the hotel i can highly recommend the gran mahakam hotel for both business and family travel,Positif,old boutique hotel well maintained reception concierge restaurant housekeeping security staff polite helpful room amenities complete stayed standard room later upgraded deluxe suite found bedding comfortable insufficient number power outlets accommodate laptop chargers tablet phone purchased cable extension block mall conveniently located meters hotel highly recommend gran mahakam hotel business family travel
1,Hotel Gran Mahakam,Oggi Gunadi,5.0,outstanding service from the first sight first impression was made by security valet and bell boy who greet us and assist our luggage door girl greet and escort to reception and staff were professionally manner with their smile during assistance found the room was well maintain and sanitized label are placed it creates comfort during the stay oggihotelreview,Positif,outstanding service first sight first impression made security valet bell boy greet us assist luggage door girl greet escort reception staff professionally manner smile assistance found room well maintain sanitized label placed creates comfort stay oggihotelreview
2,Hotel Gran Mahakam,Fifi Muliadi,5.0,when i was working i frequently visited the hotel for meeting doing lunches and dinners i have always like this very specialized boutique hotel and i had my wedding reception there as well handled by hadi praja everything was on point fantastic from check in to wedding reception until check out with my guests all praising the good food and great valet service the only complaint from them is the access to the hotel on a saturday night was heavy traffic thank you gran mahakam,Positif,working frequently visited hotel meeting lunches dinners always like specialized boutique hotel wedding reception well handled had praja everything point fantastic check wedding reception check guests praising good food great valet service complaint access hotel saturday night heavy traffic thank gran mahakam
3,Hotel Gran Mahakam,Renatha P,5.0,having all you can eat luncheon in private room for pax with round table fine dining with good services and friendly staff helping taking pictures of us rooms service location more,Positif,eat luncheon private room pax round table fine ning good services friendly staff helping taking pictures us rooms service location
4,Hotel Gran Mahakam,Swathi V,5.0,my stay was a combination of quarantine and normal stay easily the best quarantine food i have had so far delightful desserts included too the hotel was not fully open due to covid closure of the spa and limited pool service however everything else was delightful the staff and service was amazing they assisted swiftly on all matters the food at the restaurant was delicious for guests with breakfast options they even had complimentary in room breakfast,Positif,stay combination quarantine normal stay easily best quarantine food far delightful desserts included hotel fully open due covid closure spa limited pool service however everything else delightful staff service amazing assisted swiftly matters food restaurant delicious guests breakfast options even complimentary room breakfast
5,Hotel Gran Mahakam,Yoelto,4.0,good building place location but little lack of parking i felt comfort in the building homey and delicious soto betawi service location more,Positif,good building place location little lack parking felt comfort building homey delicious soto betawi service location
6,Hotel Gran Mahakam,David Lang,5.0,a true star experience the staff is very attentive and helpful the accommodations immaculate and the room service wonderful i d highly recommend if you are staying in south jakarta rooms service location more,Positif,true star experience staff attentive helpful accommodations immaculate room service wonderful highly recommend staying south jakarta rooms service location
7,Hotel Gran Mahakam,Aliya Nursabrina,5.0,classic boutique hotel that is always a favorite love the buffet either for bfast or dinner so much rooms service location more,Positif,classic boutique hotel always favorite love buffet either bfast dinner much rooms service location
8,Hotel Gran Mahakam,Raymond Valiant Ruritan,4.0,i should say that is a small hotel but with agreable service i spent a few times here specially utilizing the restaurant for breakfast and luncheon meetings it is acceptable and well served,Positif,say small hotel agreable service spent times specially utilizing restaurant breakfast luncheon meetings acceptable well served
9,Hotel Gran Mahakam,Exao Original,5.0,room and facilities are standart of normal hotel but the staff are truly amazing very polite helpful the hotel also provide place to perform jumat prayer awesomerooms service location more,Positif,room facilities standart normal hotel staff truly amazing polite helpful hotel also provide place perform jumat prayer awesomerooms service location
